overall,potential,wage_eur,age,height_cm,weight_kg,international_reputation,pace,shooting,passing,dribbling,defending,physic,contribution_type,league_name,club_name,name,attacking,skill,movement,power,mentality,goalkeeping
81.0,82.0,95000.0,26.0,183.0,73.0,2.0,88.0,79.0,75.0,83.0,34.0,65.0,1.0,English Premier League,Arsenal,N. Pépé,71.8,78.4,84.0,74.0,65.16666666666667,16.616666666666667
81.0,85.0,65000.0,23.0,187.0,84.0,2.0,80.0,49.0,69.0,73.0,82.75,80.0,0.0,German 1. Bundesliga,RB Leipzig,N. Mukiele,60.0,63.8,73.6,73.4,68.0,17.966666666666665
81.0,86.0,72000.0,23.0,179.0,72.0,2.0,79.0,74.0,81.0,85.0,70.0,65.0,1.0,German 1. Bundesliga,RB Leipzig,C. Nkunku,71.2,81.8,81.0,70.2,71.83333333333333,15.566666666666668
81.0,86.0,65000.0,23.0,180.0,72.0,2.0,74.0,75.0,79.0,83.0,68.25,78.0,1.0,French Ligue 1,Olympique Lyonnais,Lucas Paquetá,71.6,80.2,77.0,77.6,78.5,17.966666666666665
81.0,84.0,95000.0,23.0,180.0,66.0,1.0,86.0,77.0,76.0,81.0,45.25,63.0,1.0,English Premier League,Leicester City,H. Barnes,69.0,75.2,82.6,71.0,63.333333333333336,14.950000000000001
81.0,86.0,65000.0,23.0,175.0,70.0,2.0,75.0,75.0,81.0,85.0,65.0,71.0,1.0,French Ligue 1,Olympique Lyonnais,H. Aouar,71.8,80.8,80.0,71.6,76.0,16.566666666666666
81.0,86.0,76000.0,21.0,178.0,87.0,2.0,80.0,58.0,77.0,77.0,76.75,80.0,0.0,English Premier League,Chelsea,R. James,65.6,77.2,78.2,75.2,67.83333333333333,16.900000000000002
81.0,88.0,52000.0,21.0,170.0,68.0,2.0,94.0,67.0,73.0,85.0,42.0,53.0,1.0,German 1. Bundesliga,Bayer 04 Leverkusen,M. Diaby,63.4,69.2,90.0,60.6,61.5,15.799999999999999
81.0,84.0,79000.0,24.0,178.0,68.0,1.0,86.0,58.0,75.0,78.0,78.25,70.0,0.0,English Premier League,Tottenham Hotspur,Reguilón,65.8,69.4,79.4,67.2,69.66666666666667,16.633333333333333
81.0,88.0,49000.0,22.0,194.0,85.0,2.0,75.0,52.0,65.0,69.0,81.25,79.0,0.0,German 1. Bundesliga,Bayer 04 Leverkusen,E. Tapsoba,57.8,59.2,71.6,67.6,70.0,16.166666666666668
80.0,80.0,88000.0,34.0,170.0,61.0,3.0,50.0,72.0,84.0,80.0,69.75,66.0,1.0,English Premier League,Wolverhampton Wanderers,João Moutinho,76.6,82.0,67.0,71.0,75.66666666666667,19.566666666666666
80.0,80.0,51000.0,34.0,175.0,77.0,3.0,69.0,77.0,83.0,82.0,36.5,67.0,1.0,French Ligue 1,Olympique de Marseille,D. Payet,75.6,80.8,73.6,67.6,68.16666666666667,18.133333333333333
80.0,80.0,70000.0,33.0,191.0,86.0,2.0,56.0,40.0,60.0,62.0,81.75,76.0,0.0,English Premier League,West Ham United,A. Ogbonna,51.6,56.0,58.2,68.0,62.166666666666664,11.9
80.0,80.0,48000.0,34.0,190.0,80.0,2.0,70.4,65.6,69.6,73.2,29.45,74.8,0.0,English Premier League,Crystal Palace,Guaita,23.4,25.0,57.6,48.8,34.5,74.5
80.0,80.0,53000.0,32.0,171.0,68.0,3.0,65.0,71.0,80.0,77.0,76.0,72.0,0.0,German 1. Bundesliga,Bayer 04 Leverkusen,C. Aránguiz,69.0,77.0,75.4,72.0,77.0,17.133333333333333
80.0,80.0,34000.0,28.0,184.0,83.0,2.0,70.0,70.0,67.0,61.0,81.75,81.0,0.0,German 1. Bundesliga,Eintracht Frankfurt,M. Hinteregger,67.4,64.6,68.2,79.8,71.83333333333333,17.266666666666666
80.0,80.0,35000.0,29.0,172.0,69.0,2.0,67.0,74.0,83.0,82.0,69.0,69.0,1.0,French Ligue 1,Montpellier Hérault SC,T. Savanier,69.2,81.0,77.6,66.8,79.5,16.933333333333334
80.0,81.0,84000.0,28.0,191.0,82.0,2.0,55.0,49.0,65.0,65.0,81.5,80.0,0.0,English Premier League,Everton,M. Keane,62.0,57.8,59.6,68.6,61.0,17.666666666666668
80.0,82.0,90000.0,25.0,188.0,80.0,3.0,68.0,78.0,78.0,82.0,63.5,75.0,1.0,English Premier League,Tottenham Hotspur,D. Alli,78.4,76.8,71.4,75.6,76.5,14.9
80.0,85.0,95000.0,25.0,187.0,81.0,2.0,65.0,31.0,65.0,68.0,83.0,72.0,0.0,English Premier League,Chelsea,A. Christensen,53.6,58.0,65.8,53.4,60.166666666666664,15.616666666666667
80.0,82.0,32000.0,28.0,191.0,93.0,2.0,68.8,61.1,67.6,70.7,28.975,72.4,0.0,French Ligue 1,OGC Nice,W. Benítez,16.0,20.6,52.6,50.0,33.166666666666664,73.66666666666667
80.0,83.0,64000.0,26.0,184.0,80.0,3.0,83.0,43.0,67.0,71.0,80.75,81.0,0.0,French Ligue 1,Olympique Lyonnais,J. Denayer,57.8,58.8,75.2,67.8,63.166666666666664,18.900000000000002
80.0,83.0,42000.0,25.0,175.0,70.0,2.0,89.0,75.0,74.0,81.0,37.25,69.0,1.0,French Ligue 1,LOSC Lille,J. Bamba,70.4,74.0,84.6,74.4,68.0,17.7
80.0,86.0,69000.0,24.0,178.0,70.0,2.0,84.0,60.0,75.0,77.0,76.25,79.0,0.0,English Premier League,Arsenal,K. Tierney,61.6,70.2,79.6,77.0,70.5,18.733333333333334
80.0,81.0,81000.0,27.0,177.0,69.0,2.0,82.0,57.0,68.0,81.0,76.5,75.0,0.0,English Premier League,Wolverhampton Wanderers,Nélson Semedo,60.2,63.2,81.8,73.2,68.0,18.8
80.0,83.0,54000.0,25.0,187.0,91.0,2.0,81.0,48.0,67.0,74.0,80.25,77.0,0.0,German 1. Bundesliga,Borussia Dortmund,M. Akanji,58.0,66.2,75.2,71.6,62.166666666666664,15.799999999999999
80.0,84.0,41000.0,24.0,184.0,72.0,2.0,74.0,64.0,79.0,80.0,79.25,77.0,1.0,French Ligue 1,Olympique de Marseille,Gerson,66.0,75.8,78.2,71.0,76.33333333333333,17.2
80.0,86.0,38000.0,23.0,176.0,70.0,3.0,84.0,74.0,77.0,84.0,71.0,84.0,1.0,French Ligue 1,LOSC Lille,Renato Sanches,69.8,76.6,84.6,84.2,77.16666666666667,15.75
80.0,85.0,59000.0,22.0,179.0,78.0,2.0,90.0,79.0,72.0,83.0,24.25,74.0,1.0,German 1. Bundesliga,Borussia Dortmund,D. Malen,74.2,73.0,85.6,76.4,66.66666666666667,16.150000000000002
80.0,83.0,88000.0,25.0,185.0,82.0,1.0,76.0,46.0,60.0,67.0,80.5,80.0,0.0,English Premier League,Leicester City,Ç. Söyüncü,56.8,55.6,69.6,67.4,65.5,13.733333333333334
80.0,84.0,53000.0,23.0,174.0,76.0,2.0,69.0,70.0,73.0,77.0,72.75,81.0,0.0,German 1. Bundesliga,VfL Wolfsburg,X. Schlager,61.6,72.0,74.8,76.4,75.16666666666667,14.799999999999999
80.0,86.0,30000.0,21.0,184.0,68.0,2.0,74.0,50.0,72.0,73.0,79.0,78.0,0.0,French Ligue 1,Olympique de Marseille,B. Kamara,56.6,66.4,70.8,71.4,71.16666666666667,15.066666666666668
80.0,85.0,59000.0,23.0,176.0,75.0,2.0,84.0,73.0,73.0,81.0,72.25,78.0,1.0,German 1. Bundesliga,VfL Wolfsburg,R. Baku,67.8,67.8,83.0,77.4,71.0,15.65
80.0,80.0,73000.0,28.0,175.0,76.0,1.0,77.0,56.0,73.0,75.0,78.75,81.0,0.0,English Premier League,West Ham United,V. Coufal,67.4,67.8,77.8,74.2,70.16666666666667,17.733333333333334
80.0,88.0,50000.0,19.0,178.0,65.0,2.0,84.0,68.0,76.0,82.0,66.5,64.0,1.0,English Premier League,Arsenal,B. Saka,67.0,74.4,82.0,64.4,71.33333333333333,16.3
79.0,79.0,24000.0,33.0,187.0,82.0,2.0,67.6,44.1,60.1,63.8,27.0,72.6,0.0,French Ligue 1,FC Girondins de Bordeaux,B. Costil,17.4,16.2,51.4,43.0,29.5,73.16666666666667
79.0,79.0,66000.0,31.0,175.0,66.0,2.0,70.0,60.0,75.0,76.0,78.0,68.0,0.0,English Premier League,West Ham United,A. Cresswell,66.0,75.0,74.4,71.6,68.16666666666667,16.966666666666665
79.0,79.0,39000.0,31.0,180.0,82.0,1.0,62.0,42.0,58.0,63.0,80.5,78.0,0.0,English Premier League,Burnley,B. Mee,52.6,51.8,66.0,67.0,63.5,17.150000000000002
79.0,79.0,79000.0,31.0,178.0,82.0,2.0,83.0,76.0,73.0,78.0,53.75,83.0,1.0,English Premier League,West Ham United,M. Antonio,76.6,70.6,80.8,80.0,71.16666666666667,17.633333333333333
79.0,79.0,48000.0,29.0,191.0,92.0,1.0,64.0,79.0,60.0,70.0,34.5,81.0,1.0,English Premier League,Burnley,C. Wood,71.2,65.4,63.8,78.8,69.83333333333333,19.533333333333335
79.0,79.0,95000.0,30.0,188.0,85.0,2.0,58.0,74.0,78.0,77.0,75.0,77.0,0.0,English Premier League,Chelsea,Marcos Alonso,78.8,80.6,63.0,78.0,71.5,16.616666666666667
79.0,79.0,75000.0,29.0,169.0,72.0,3.0,75.0,76.0,80.0,81.0,44.5,67.0,1.0,French Ligue 1,Olympique Lyonnais,X. Shaqiri,70.0,81.4,80.2,71.0,69.16666666666667,18.233333333333334
79.0,79.0,23000.0,33.0,190.0,81.0,2.0,67.3,52.6,62.2,65.9,26.2,71.6,0.0,German 1. Bundesliga,FC Augsburg,R. Gikiewicz,21.8,17.6,42.6,43.0,24.0,67.5
79.0,79.0,53000.0,29.0,180.0,66.0,2.0,80.0,78.0,66.0,78.0,36.0,77.0,1.0,English Premier League,Newcastle United,C. Wilson,72.8,65.4,77.2,74.0,71.5,16.133333333333333
79.0,79.0,80000.0,28.0,185.0,82.0,3.0,50.0,64.0,79.0,69.0,69.0,80.0,0.0,English Premier League,Arsenal,G. Xhaka,63.4,76.6,56.6,72.2,72.0,15.799999999999999
79.0,81.0,80000.0,28.0,186.0,80.0,1.0,47.0,58.0,75.0,67.0,78.75,75.0,0.0,English Premier League,Wolverhampton Wanderers,C. Coady,65.8,69.6,54.8,73.6,68.16666666666667,16.966666666666665
79.0,80.0,81000.0,27.0,190.0,90.0,2.0,53.0,64.0,69.0,64.0,79.25,83.0,0.0,English Premier League,Tottenham Hotspur,E. Dier,63.8,70.6,52.2,77.4,71.5,16.966666666666665
79.0,79.0,31000.0,30.0,191.0,76.0,2.0,44.0,50.0,70.0,73.0,77.5,75.0,0.0,German 1. Bundesliga,Borussia Mönchengladbach,C. Kramer,61.2,65.4,58.0,61.2,70.16666666666667,14.9
79.0,79.0,38000.0,28.0,181.0,79.0,2.0,71.0,82.0,77.0,79.0,34.5,74.0,1.0,German 1. Bundesliga,Borussia Mönchengladbach,A. Plea,78.4,76.8,76.8,77.6,68.66666666666667,18.916666666666668
79.0,79.0,87000.0,28.0,184.0,76.0,2.0,70.0,76.0,72.0,76.0,77.0,81.0,0.0,English Premier League,Everton,A. Doucouré,71.4,63.2,70.2,80.2,72.5,19.666666666666668
79.0,79.0,32000.0,28.0,184.0,83.0,2.0,83.0,55.0,70.0,70.0,74.25,81.0,0.0,German 1. Bundesliga,Sport-Club Freiburg,C. Günter,61.4,69.6,74.0,69.4,66.33333333333333,16.5
79.0,79.0,35000.0,28.0,176.0,73.0,2.0,75.0,72.0,80.0,79.0,55.0,66.0,1.0,German 1. Bundesliga,Borussia Mönchengladbach,J. Hofmann,68.0,77.2,77.4,69.6,72.66666666666667,14.266666666666666
79.0,82.0,59000.0,26.0,184.0,83.0,2.0,88.0,51.0,69.0,73.0,76.25,80.0,0.0,German 1. Bundesliga,VfL Wolfsburg,K. Mbabu,60.2,64.6,79.6,71.4,65.0,16.316666666666666
79.0,79.0,55000.0,27.0,183.0,73.0,2.0,58.0,76.0,79.0,82.0,66.75,70.0,0.0,German 1. Bundesliga,Bayer 04 Leverkusen,K. Demirbay,66.8,82.4,70.2,74.4,74.0,19.3
79.0,79.0,35000.0,28.0,180.0,76.0,2.0,70.0,74.0,79.0,81.0,38.0,62.0,1.0,German 1. Bundesliga,Sport-Club Freiburg,V. Grifo,70.8,80.8,75.0,68.2,66.83333333333333,15.933333333333332
79.0,81.0,65000.0,28.0,192.0,84.0,1.0,77.2,60.0,71.1,75.2,28.125,71.0,0.0,English Premier League,Wolverhampton Wanderers,José Sá,18.8,17.8,53.6,48.2,23.5,70.33333333333333
79.0,84.0,41000.0,24.0,173.0,67.0,2.0,91.0,69.0,70.0,87.0,23.5,61.0,1.0,English Premier League,Newcastle United,A. Saint-Maximin,64.2,73.8,87.4,72.0,55.666666666666664,15.033333333333333
79.0,82.0,56000.0,25.0,178.0,68.0,2.0,70.0,69.0,76.0,83.0,65.75,70.0,0.0,German 1. Bundesliga,Borussia Dortmund,M. Dahoud,64.2,75.2,78.8,75.6,70.83333333333333,16.8
79.0,79.0,49000.0,29.0,175.0,71.0,2.0,85.0,54.0,72.0,76.0,73.5,77.0,0.0,French Ligue 1,Stade Rennais FC,H. Traoré,61.2,66.8,79.8,74.4,67.16666666666667,17.166666666666668
79.0,81.0,77000.0,25.0,187.0,79.0,2.0,75.0,45.0,55.0,65.0,80.25,80.0,0.0,English Premier League,Tottenham Hotspur,D. Sánchez,51.2,51.2,68.0,67.6,61.0,15.966666666666667
79.0,83.0,26000.0,24.0,189.0,81.0,2.0,74.0,39.0,63.0,68.0,79.75,77.0,0.0,German 1. Bundesliga,Borussia Mönchengladbach,N. Elvedi,55.6,54.0,68.6,66.0,61.333333333333336,16.266666666666666
79.0,82.0,31000.0,26.0,186.0,82.0,2.0,73.0,59.0,72.0,75.0,77.0,80.0,0.0,German 1. Bundesliga,Borussia Mönchengladbach,R. Bensebaini,68.6,70.4,68.6,70.0,73.16666666666667,16.566666666666666
79.0,82.0,32000.0,24.0,180.0,78.0,2.0,79.0,58.0,71.0,72.0,75.5,79.0,0.0,French Ligue 1,LOSC Lille,Z. Çelik,65.2,65.2,73.2,71.2,68.5,16.166666666666668
79.0,83.0,53000.0,25.0,180.0,69.0,3.0,81.0,72.0,79.0,83.0,68.0,69.0,1.0,French Ligue 1,AS Monaco,A. Golovin,67.2,79.8,82.4,73.0,72.66666666666667,18.966666666666665
79.0,84.0,61000.0,24.0,172.0,65.0,3.0,73.0,73.0,80.0,81.0,65.0,67.0,1.0,English Premier League,Aston Villa,E. Buendía,71.2,79.0,78.0,65.6,71.0,16.7
79.0,82.0,69000.0,25.0,178.0,67.0,2.0,68.0,74.0,79.0,79.0,70.5,68.0,1.0,English Premier League,West Ham United,Pablo Fornals,70.4,76.2,72.4,69.6,71.5,17.400000000000002
79.0,82.0,64000.0,25.0,186.0,81.0,3.0,69.0,53.0,72.0,71.0,78.25,76.0,0.0,German 1. Bundesliga,FC Bayern München,B. Pavard,69.0,67.0,69.0,73.0,66.33333333333333,17.400000000000002
79.0,85.0,29000.0,23.0,192.0,88.0,2.0,82.0,78.0,70.0,79.0,44.25,77.0,1.0,German 1. Bundesliga,Borussia Mönchengladbach,M. Thuram,75.8,64.2,74.8,78.8,65.83333333333333,17.766666666666666
79.0,83.0,37000.0,23.0,187.0,84.0,2.0,73.0,81.0,69.0,77.0,25.25,68.0,1.0,French Ligue 1,OGC Nice,K. Dolberg,72.2,72.6,71.2,78.0,61.166666666666664,15.916666666666666
79.0,84.0,65000.0,23.0,190.0,87.0,2.0,68.0,36.0,60.0,58.0,79.75,80.0,0.0,English Premier League,Arsenal,Gabriel,50.8,52.6,60.0,60.8,62.833333333333336,16.8
79.0,82.0,29000.0,24.0,184.0,76.0,2.0,75.0,68.0,79.0,83.0,39.75,59.0,1.0,German 1. Bundesliga,Eintracht Frankfurt,D. Kamada,68.6,78.0,77.2,66.0,65.33333333333333,14.766666666666666
79.0,82.0,57000.0,25.0,191.0,85.0,3.0,70.0,79.0,70.0,80.0,30.5,68.0,1.0,German 1. Bundesliga,Bayer 04 Leverkusen,P. Schick,75.2,71.8,73.8,73.0,62.0,17.466666666666665
79.0,83.0,36000.0,23.0,175.0,73.0,3.0,89.0,70.0,74.0,83.0,34.75,60.0,1.0,French Ligue 1,LOSC Lille,J. Ikoné,63.0,75.8,85.8,60.6,67.16666666666667,16.066666666666666
79.0,84.0,36000.0,23.0,195.0,88.0,1.0,63.6,57.8,66.2,67.6,27.525,72.9,0.0,German 1. Bundesliga,Borussia Dortmund,G. Kobel,17.0,23.2,37.4,42.8,30.166666666666668,69.66666666666667
79.0,84.0,50000.0,24.0,182.0,80.0,1.0,70.0,68.0,75.0,78.0,77.25,75.0,1.0,English Premier League,Brighton & Hove Albion,Y. Bissouma,66.6,74.4,73.8,78.8,72.0,15.966666666666667
79.0,85.0,41000.0,21.0,187.0,81.0,2.0,72.0,69.0,75.0,77.0,76.0,82.0,1.0,French Ligue 1,AS Monaco,A. Tchouaméni,67.0,71.2,73.2,77.8,74.33333333333333,15.533333333333333
79.0,86.0,42000.0,21.0,190.0,88.0,2.0,88.0,33.0,56.0,65.0,78.75,77.0,0.0,German 1. Bundesliga,VfL Wolfsburg,M. Lacroix,47.8,51.6,74.2,60.6,59.666666666666664,16.866666666666667
79.0,84.0,70000.0,22.0,181.0,79.0,1.0,84.0,62.0,71.0,74.0,75.25,77.0,0.0,English Premier League,Tottenham Hotspur,Emerson,65.0,67.2,76.6,74.8,67.16666666666667,17.733333333333334
79.0,84.0,52000.0,23.0,182.0,78.0,2.0,68.0,63.0,78.0,78.0,73.75,75.0,0.0,French Ligue 1,Olympique Lyonnais,Bruno Guimarães,67.2,75.4,71.2,69.6,73.66666666666667,17.133333333333333
79.0,85.0,27000.0,21.0,193.0,81.0,2.0,60.0,36.0,59.0,61.0,79.75,84.0,0.0,French Ligue 1,LOSC Lille,S. Botman,49.4,53.6,59.0,70.0,60.333333333333336,15.4
79.0,89.0,21000.0,18.0,186.0,75.0,2.0,75.0,69.0,73.0,80.0,75.0,77.0,1.0,German 1. Bundesliga,Borussia Dortmund,J. Bellingham,66.2,68.2,78.2,75.2,73.5,14.65
78.0,78.0,19000.0,35.0,186.0,80.0,3.0,54.0,43.0,63.0,65.0,78.75,75.0,0.0,French Ligue 1,FC Girondins de Bordeaux,L. Koscielny,55.4,56.4,60.6,64.6,63.666666666666664,15.466666666666667
78.0,78.0,46000.0,34.0,185.0,86.0,3.0,69.0,78.0,77.0,80.0,65.75,74.0,0.0,German 1. Bundesliga,Hertha BSC,K. Boateng,76.8,77.8,70.4,74.8,75.0,16.583333333333332
78.0,78.0,17000.0,32.0,184.0,80.0,2.0,70.6,53.3,62.6,68.2,26.125,69.7,0.0,French Ligue 1,FC Metz,A. Oukidja,16.6,16.8,54.6,49.2,28.833333333333332,71.5
78.0,78.0,69000.0,32.0,177.0,77.0,2.0,66.0,65.0,73.0,76.0,79.25,70.0,0.0,English Premier League,Everton,S. Coleman,68.8,68.0,71.2,69.8,72.66666666666667,16.733333333333334
78.0,78.0,51000.0,31.0,187.0,91.0,2.0,74.0,61.0,73.0,75.0,75.0,87.0,1.0,English Premier League,Watford,M. Sissoko,65.6,72.8,68.8,77.4,72.16666666666667,16.466666666666665
78.0,78.0,32000.0,30.0,173.0,72.0,2.0,73.0,72.0,76.0,83.0,36.0,66.0,1.0,French Ligue 1,Racing Club de Lens,G. Kakuta,69.8,79.0,79.0,74.8,67.83333333333333,16.166666666666668
78.0,78.0,51000.0,31.0,189.0,83.0,2.0,64.0,64.0,62.0,69.0,77.5,85.0,0.0,English Premier League,Crystal Palace,C. Kouyaté,62.8,58.4,64.4,77.2,70.0,16.8
78.0,78.0,36000.0,31.0,175.0,73.0,1.0,58.0,62.0,80.0,74.0,74.75,75.0,1.0,English Premier League,Burnley,A. Westwood,66.6,77.8,69.0,72.4,73.83333333333333,15.9
78.0,78.0,29000.0,30.0,187.0,82.0,1.0,59.0,75.0,75.0,75.0,71.75,80.0,1.0,French Ligue 1,FC Girondins de Bordeaux,Fransérgio,72.0,76.0,63.4,75.6,77.33333333333333,13.1
78.0,78.0,42000.0,30.0,188.0,84.0,2.0,70.0,29.0,52.0,58.0,79.75,83.0,0.0,German 1. Bundesliga,Hertha BSC,D. Boyata,50.8,44.0,66.0,65.2,51.166666666666664,16.366666666666667
78.0,78.0,53000.0,29.0,183.0,83.0,2.0,41.0,44.0,62.0,65.0,80.25,81.0,1.0,English Premier League,Southampton,Oriol Romeu,52.2,61.4,53.8,68.8,67.0,18.466666666666665
78.0,79.0,56000.0,29.0,192.0,88.0,1.0,46.0,51.0,62.0,64.0,79.0,78.0,0.0,English Premier League,Brighton & Hove Albion,L. Dunk,49.8,66.2,50.0,72.8,59.833333333333336,17.633333333333333
78.0,80.0,22000.0,28.0,185.0,88.0,1.0,69.7,59.4,63.9,68.2,27.55,73.0,0.0,German 1. Bundesliga,DSC Arminia Bielefeld,S. Ortega,21.2,28.2,55.6,52.0,34.833333333333336,73.66666666666667
78.0,78.0,48000.0,28.0,182.0,71.0,2.0,74.0,62.0,74.0,74.0,74.25,79.0,0.0,French Ligue 1,AS Monaco,D. Sidibé,64.8,74.4,72.4,76.0,67.83333333333333,16.833333333333332
78.0,79.0,83000.0,28.0,199.0,96.0,2.0,32.0,48.0,62.0,49.0,77.75,82.0,0.0,English Premier League,Leicester City,J. Vestergaard,52.6,54.6,39.2,71.0,66.66666666666667,18.833333333333332
78.0,78.0,35000.0,29.0,182.0,81.0,2.0,74.0,43.0,73.0,73.0,73.25,79.0,0.0,German 1. Bundesliga,TSG Hoffenheim,P. Kadeřábek,63.6,65.0,72.4,69.6,70.33333333333333,16.433333333333334
78.0,79.0,56000.0,28.0,193.0,78.0,2.0,59.0,39.0,59.0,64.0,79.25,76.0,0.0,German 1. Bundesliga,VfL Wolfsburg,J. Brooks,53.2,52.0,59.6,59.6,62.5,15.299999999999999
78.0,78.0,82000.0,27.0,185.0,71.0,2.0,73.0,78.0,67.0,73.0,34.75,77.0,1.0,English Premier League,Leeds United,P. Bamford,71.4,67.6,72.2,76.8,68.5,16.3
78.0,78.0,69000.0,31.0,188.0,84.0,1.0,58.0,56.0,69.0,70.0,78.5,77.0,0.0,English Premier League,Wolverhampton Wanderers,R. Saïss,61.8,65.8,62.8,71.0,68.16666666666667,16.733333333333334
78.0,78.0,28000.0,31.0,185.0,75.0,2.0,59.0,60.0,75.0,75.0,77.0,75.0,0.0,German 1. Bundesliga,1. FC Köln,J. Hector,65.4,71.2,67.2,72.4,71.33333333333333,16.333333333333332
78.0,78.0,30000.0,29.0,170.0,67.0,2.0,74.0,75.0,78.0,80.0,50.0,63.0,1.0,French Ligue 1,Montpellier Hérault SC,F. Mollet,67.0,79.6,78.2,72.8,68.5,17.733333333333334
78.0,78.0,61000.0,29.0,170.0,65.0,2.0,79.0,75.0,74.0,80.0,48.25,65.0,1.0,German 1. Bundesliga,VfL Wolfsburg,R. Steffen,75.0,75.0,83.4,75.0,63.833333333333336,17.533333333333335
78.0,79.0,85000.0,26.0,176.0,79.0,2.0,80.0,63.0,70.0,78.0,76.25,63.0,0.0,French Ligue 1,Olympique Lyonnais,Emerson,63.4,69.8,77.4,70.2,67.16666666666667,17.0
78.0,81.0,58000.0,26.0,178.0,68.0,2.0,70.0,73.0,75.0,78.0,71.0,80.0,1.0,English Premier League,Aston Villa,J. McGinn,69.0,73.6,74.6,79.2,70.5,17.316666666666666
78.0,82.0,57000.0,24.0,183.0,79.0,2.0,78.0,77.0,63.0,73.0,24.75,82.0,1.0,French Ligue 1,Olympique Lyonnais,M. Dembélé,71.0,64.4,74.8,79.6,66.66666666666667,16.133333333333333
78.0,80.0,61000.0,28.0,196.0,77.0,2.0,72.0,44.0,67.0,66.0,78.0,81.0,0.0,English Premier League,Aston Villa,T. Mings,58.2,60.0,64.6,66.0,65.0,17.033333333333335
78.0,82.0,43000.0,25.0,195.0,98.0,2.0,67.0,27.0,55.0,57.0,79.25,81.0,0.0,German 1. Bundesliga,Bayer 04 Leverkusen,J. Tah,45.6,47.2,59.0,59.0,58.0,15.700000000000001
78.0,81.0,79000.0,25.0,178.0,72.0,1.0,96.0,66.0,67.0,86.0,37.0,81.0,1.0,English Premier League,Wolverhampton Wanderers,Adama Traoré,61.4,67.6,86.4,77.2,60.333333333333336,16.8
78.0,79.0,47000.0,27.0,178.0,68.0,2.0,70.0,74.0,79.0,77.0,63.75,73.0,1.0,French Ligue 1,Stade Rennais FC,B. Bourigeaud,72.6,78.6,72.8,75.4,76.0,18.166666666666668
78.0,78.0,95000.0,27.0,178.0,72.0,1.0,77.0,73.0,72.0,80.0,55.5,67.0,1.0,English Premier League,Leicester City,Ayoze Pérez,74.6,72.2,79.4,70.0,71.83333333333333,17.783333333333335
78.0,80.0,32000.0,26.0,185.0,74.0,2.0,76.0,71.0,72.0,78.0,72.0,79.0,1.0,French Ligue 1,Racing Club de Lens,S. Fofana,65.4,67.2,74.8,76.0,73.16666666666667,15.166666666666666
78.0,79.0,55000.0,26.0,178.0,65.0,3.0,72.0,59.0,75.0,73.0,77.0,74.0,0.0,French Ligue 1,Olympique Lyonnais,L. Dubois,68.6,71.0,71.0,70.4,69.16666666666667,16.966666666666665
78.0,79.0,29000.0,27.0,197.0,92.0,2.0,60.0,78.0,60.0,70.0,19.75,81.0,1.0,French Ligue 1,RC Strasbourg Alsace,L. Ajorque,71.6,58.2,57.2,77.8,66.83333333333333,16.766666666666666
78.0,80.0,43000.0,26.0,183.0,73.0,2.0,60.0,62.0,71.0,74.0,77.75,74.0,1.0,French Ligue 1,Stade Rennais FC,B. Santamaria,63.2,67.2,66.2,73.0,65.83333333333333,14.533333333333333
78.0,81.0,32000.0,25.0,174.0,70.0,1.0,81.0,77.0,72.0,78.0,39.5,76.0,1.0,German 1. Bundesliga,Eintracht Frankfurt,R. Borré,73.6,73.8,81.2,77.0,72.83333333333333,17.0
78.0,80.0,29000.0,25.0,192.0,81.0,1.0,64.0,41.0,57.0,53.0,81.0,76.0,0.0,German 1. Bundesliga,1. FC Union Berlin,M. Friedrich,52.6,47.4,61.8,63.0,58.166666666666664,18.266666666666666
78.0,82.0,23000.0,24.0,183.0,71.0,2.0,74.0,70.0,74.0,81.0,68.5,73.0,1.0,French Ligue 1,Angers SCO,A. Fulgini,68.6,74.0,72.2,72.0,68.66666666666667,16.7
78.0,79.0,50000.0,26.0,173.0,74.0,3.0,93.0,71.0,70.0,83.0,51.0,61.0,1.0,French Ligue 1,AS Monaco,Gelson Martins,67.6,72.0,88.0,69.8,66.0,15.133333333333333
78.0,83.0,50000.0,23.0,179.0,74.0,2.0,81.0,63.0,68.0,73.0,74.25,66.0,0.0,English Premier League,Aston Villa,M. Cash,62.2,63.4,78.2,70.2,63.833333333333336,18.8
78.0,84.0,50000.0,23.0,183.0,77.0,2.0,77.0,39.0,62.0,71.0,78.75,75.0,0.0,English Premier League,Aston Villa,E. Konsa,54.4,58.0,73.8,63.2,62.666666666666664,17.133333333333333
78.0,81.0,35000.0,25.0,187.0,77.0,2.0,69.0,60.0,77.0,78.0,69.0,66.0,0.0,German 1. Bundesliga,TSG Hoffenheim,F. Grillitsch,64.8,71.2,70.0,63.0,68.83333333333333,16.099999999999998
78.0,83.0,18000.0,22.0,196.0,90.0,2.0,72.7,49.8,59.2,64.2,27.575,71.7,0.0,French Ligue 1,FC Nantes,A. Lafont,19.0,17.4,55.0,48.8,27.166666666666668,71.33333333333333
78.0,84.0,66000.0,24.0,175.0,70.0,1.0,83.0,71.0,72.0,79.0,42.75,68.0,1.0,English Premier League,Leeds United,J. Harrison,65.4,69.0,80.8,71.2,63.5,16.133333333333333
